,source_name,,origin,is_social_media
231,Vesti Kalmykia,,0,
232,Kostroma.News,,0,
233,Kirov-portal,,0,
234,Adygea Today,,0,
235,Krasnaya Vesna,,0,
236,KRTK,,0,
237,Khibiny,,0,
238,Svobodnaya Pressa,,0,
239,Penzenskaya Pravda,,0,
240,Ural56.ru,,0,
241,Komi Online,,0,
242,Ura.ru,,0,
243,Pervoe.online,,0,
244,Vshue.ru,,0,
245,Echo Moscow Ufa,,0,
246,Tatar 73,,0,
247,Flot 2017,,0,
248,Odintsovo,,0,
249,Vesti Stavropolye,,0,
250,GTRK Gorniy Altai,,0,
251,Dovod,,0,
252,Novgorod TV,,0,
253,Don24,,0,
254,PravdaPFO,,0,
255,24 Channel,,0,
256,RusData Dialine,,0,
257,Nakanune.ru,,0,
258,stolicaonego.ru,,0,
259,Azatliq Radio,,1,
260,Chita.ru,,0,
261,Primorye 24,,0,
262,Svaboda.org,,0,
263,59.ru,,0,
264,Bumaga,,0,
265,New Kaliningrad,,0,
266,KU 66,,0,
267,Yuga.ru,,0,
268,SOTA Vision,,0,
269,Ryazanskiye Vedomosti,,0,
270,46tv.ru,,0,
271,Kavkaz Realii,,0,
272,Kaluzhskaya Nedelya,,0,
273,Vechernaya Moskva,,0,
274,Prim News,,0,
275,KomiInform,,0,
276,Caucasian Knot,,0,
277,Bryanskaya Ulitsa,,0,
278,Bryanskij Obyektiv,,0,
279,BBC News,,1,
280,Vostok-media,,0,
281,KHV Today,,0,
282,Stepnye Vesti,,0,
283,LudiDV,,0,
284,Vsyo o Tveri,,0,
285,Media.az,,1,
286,45.ru,,0,
287,Karelia.News,,0,
288,78.ru,,0,
289,Komsomolskaya Pravda,,0,
290,GO64.ru,,0,
291,Institute for the Study of War,,1,
292,Altaiskaia Pravda,,0,
293,Moskvich Mag,,0,
294,ProKazan,,0,
295,Prima Media,,0,
296,Chetire Pera,,0,
297,News29.ru,,0,
298,FreeMedia,,0,
299,Moscow Region Today,,0,
300,Info-RM,,0,
301,Chesnok.media,,0,
302,UTV.ru,,0,
303,Feminist Anti-War Resistance,,0,
304,Ugra News,,0,
305,GTRK Birobidzhan,,0,
306,Forum Free Russia,,0,
307,Echo76,,0,
308,Nashe Vremya,,0,
309,Infopro54,,0,
310,Obshchaya Gazeta,,0,
311,GO31.ru,,0,
312,Novoye Vremya,,0,
313,Echo Oren,,0,
314,ProGorodSaransk,,0,
315,Combat Brotherhood,,0,
316,Irkutsk Media,,0,
317,Kurgan,,0,
318,Newsvo,,0,
319,Izvestia Mordovii,,0,
320,72.ru,,0,
321,Orsk.ru,,0,
322,Vecherniy Novosibirsk,,0,
323,Ren.TV,,0,
324,Magas.ru,,0,
325,Tayga.Info,,0,
326,Znamya.Kaluga,,0,
327,Intellinews,,1,
328,Donday.ru,,0,
329,Activatica,,0,
330,PLN Pskov,,0,
331,Rambler,,0,1
332,News Tula,,0,
333,Gubernia33,,0,
334,Bash.News,,0,
335,Tolyatti News,,0,
336,Petrozavodsk Govorit,,0,
337,GTRK Yaroslavl,,0,
338,Variant,,0,
339,Progoroduhta,,0,
340,DPA,,1,
341,Gorodskoy Telekanal,,0,
342,Avtonom,,0,
343,Moy Gorod,,0,
344,Sibkray,,0,
345,News Omsk,,0,
346,Mkru,,0,
347,Nizhegorodskaya Pravda,,0,
348,Kamchatka Media,,0,
349,Magadanskaya Pravda,,0,
350,SakhaLife,,0,
351,GTRK Murmansk,,0,
352,Yakutsk Vecherniy,,0,
353,Apologia Protesta,,0,
354,Vrntimes.ru,,0,
355,Revda Info,,0,
356,Open Caucasus Media,,0,
357,NNTV,,0,
358,Zvezda Altaya,,0,
359,Tomsk.ru,,0,
360,gorodche.ru,,0,
361,Mezhdu Strok,,0,
362,Smolenskaya Gazeta,,0,
363,Crimean Human Rights Group,,1,
364,Nabat,,0,
365,Sibnet,,0,
366,Sakhalin.Info,,0,
367,Meduza,,0,
368,Ryazanskiye Novosti,,0,
369,Bloknot-Kamyshin,,0,
370,NN Now,,0,
371,The Village,,0,
372,Penza Vzglyad,,0,
373,Kamchatka Inform,,0,
374,Tuva Online,,0,
375,Chernovik,,0,
376,Kommersant,,0,
377,Novosti Voronezha,,0,
378,Izhevsk Info,,0,
379,Moskovskij Komsomolets,,0,
380,Kolyma Plus,,0,
381,Kursk.com,,0,
382,Peterburgskiy Vestnik,,0,
383,EAnews.ru,,0,
384,TV2,,0,
385,V Gorode N,,0,
386,Orenburg Media,,0,
387,IA REX,,0,
388,Lenta.ru,,0,
389,LabourStart,,0,
390,Bryansk Today,,0,
391,Youtube,,1,1
392,Khab info,,0,
